 3200  1.0000E-01
   i   x             den           ener          pres          vel           cs
    1  1.250000E-03  1.023631E-16  1.237499E+18  8.444949E+01  3.000000E-03  1.172603E+09
    2  3.750000E-03  1.436115E-14  8.820622E+15  8.444949E+01  9.000000E-03  9.899844E+07
    3  6.250000E-03  1.430568E-13  8.854822E+14  8.444949E+01  1.500000E-02  3.136669E+07
    4  8.750000E-03  6.502564E-13  1.948066E+14  8.444949E+01  2.100000E-02  1.471230E+07
    5  1.125000E-02  2.014813E-12  6.287146E+13  8.444949E+01  2.700000E-02  8.358061E+06
    6  1.375000E-02  4.970619E-12  2.548460E+13  8.444949E+01  3.300000E-02  5.321299E+06
    7  1.625000E-02  1.054116E-11  1.201710E+13  8.444949E+01  3.900000E-02  3.654085E+06
    8  1.875000E-02  2.007031E-11  6.311523E+12  8.444949E+01  4.500000E-02  2.648170E+06
    9  2.125000E-02  3.525036E-11  3.593559E+12  8.444949E+01  5.100000E-02  1.998210E+06
   10  2.375000E-02  5.814798E-11  2.178480E+12  8.444949E+01  5.700000E-02  1.555806E+06
   11  2.625000E-02  9.122844E-11  1.388539E+12  8.444949E+01  6.300000E-02  1.242103E+06
   12  2.875000E-02  1.373785E-10  9.220821E+11  8.444949E+01  6.900000E-02  1.012194E+06
   13  3.125000E-02  1.999279E-10  6.335995E+11  8.444949E+01  7.500000E-02  8.390468E+05
   14  3.375000E-02  2.826704E-10  4.481340E+11  8.444949E+01  8.100000E-02  7.056392E+05
   15  3.625000E-02  3.898831E-10  3.249031E+11  8.444949E+01  8.700000E-02  6.008356E+05
   16  3.875000E-02  5.263457E-10  2.406674E+11  8.444949E+01  9.300000E-02  5.171153E+05
   17  4.125000E-02  6.973586E-10  1.816486E+11  8.444949E+01  9.900000E-02  4.492570E+05
   18  4.375000E-02  9.087609E-10  1.393923E+11  8.444949E+01  1.050000E-01  3.935483E+05
   19  4.625000E-02  1.166947E-09  1.085518E+11  8.444949E+01  1.110000E-01  3.472940E+05
   20  4.875000E-02  1.478884E-09  8.565528E+10  8.444949E+01  1.170000E-01  3.085005E+05
   21  5.125000E-02  1.852127E-09  6.839392E+10  8.444949E+01  1.230000E-01  2.756687E+05
   22  5.375000E-02  2.294835E-09  5.519971E+10  8.444949E+01  1.290000E-01  2.476550E+05
   23  5.625000E-02  2.815787E-09  4.498716E+10  8.444949E+01  1.350000E-01  2.235749E+05
   24  5.875000E-02  3.424395E-09  3.699172E+10  8.444949E+01  1.410000E-01  2.027361E+05
   25  6.125000E-02  4.130720E-09  3.066638E+10  8.444949E+01  1.470000E-01  1.845908E+05
   26  6.375000E-02  4.945489E-09  2.561410E+10  8.444949E+01  1.530000E-01  1.687012E+05
   27  6.625000E-02  5.880102E-09  2.154286E+10  8.444949E+01  1.590000E-01  1.547143E+05
